SP_1.csv,SP_10.csv,SP_11.csv,SP_12.csv,SP_13.csv,SP_2.csv,SP_3.csv,SP_4.csv,SP_5.csv,SP_6.csv,SP_7.csv,SP_8.csv,SP_9.csv
64588.0000,51632.0000,63430.0000,57634.0000,49846.0000,50472.0000,44807.5000,41964.0000,40240.5000,61619.0000,55884.0000,48509.0000,51942.5000
64414.5000,51245.0000,63290.0000,57244.0000,49565.0000,50286.0000,44527.0000,41899.5000,40148.5000,61569.5000,55564.0000,48428.5000,51631.5000
62555.5000,48404.5000,60598.0000,53755.5000,46590.0000,47113.5000,42020.0000,39498.5000,37817.0000,58713.0000,52042.0000,45376.5000,48604.5000
59109.5000,45046.5000,56280.5000,49770.0000,43099.0000,43735.0000,38876.5000,36528.0000,35168.5000,53928.0000,48136.0000,41963.5000,45189.5000
56270.0000,43176.0000,53820.5000,47764.0000,41352.5000,41880.5000,37000.0000,34883.5000,33458.0000,51566.0000,46159.5000,39938.0000,43222.0000
55530.5000,42473.0000,53036.5000,47185.5000,40587.0000,41124.5000,36392.0000,34190.0000,32699.0000,50955.5000,45380.5000,39290.5000,42759.0000
55959.5000,42875.0000,53611.5000,47700.0000,40815.5000,41421.0000,36601.0000,34327.5000,32775.5000,51323.0000,45759.0000,39586.0000,43000.5000
58826.0000,44827.0000,56251.0000,49834.5000,42758.5000,43208.5000,38090.0000,35564.0000,34316.0000,54055.0000,48142.0000,41468.5000,44831.0000
61855.5000,47515.5000,59462.0000,53002.0000,45438.5000,45740.5000,40437.0000,37877.0000,36320.5000,57548.0000,51095.0000,43983.0000,47682.0000
62562.5000,48678.0000,60760.5000,54160.5000,46585.0000,47134.0000,41428.5000,38965.5000,37282.0000,59120.0000,52399.5000,45330.5000,48959.5000
61422.0000,47047.5000,58765.0000,52318.0000,44873.0000,45373.0000,40169.0000,37634.5000,36023.0000,56822.5000,50483.0000,43772.5000,47100.0000
58458.0000,44555.0000,55713.0000,49724.0000,42370.0000,42975.5000,38057.0000,35533.5000,34150.5000,53835.5000,47720.0000,41272.5000,44724.5000
57093.0000,43403.5000,54386.5000,48380.5000,41369.0000,42089.0000,37013.5000,34732.5000,33291.0000,52434.0000,46474.5000,40214.0000,43562.0000
56455.5000,42900.0000,53678.5000,47624.0000,40995.5000,41402.5000,36505.5000,34316.0000,33009.0000,51784.0000,46069.5000,39858.5000,43264.0000
55498.0000,42342.0000,53061.5000,47006.0000,40343.0000,41001.0000,36100.0000,33780.0000,32439.5000,50933.0000,45465.5000,39161.0000,42566.5000
54727.5000,41874.0000,52185.0000,46481.0000,39857.5000,40351.0000,35682.5000,33492.0000,32097.0000,49970.5000,44699.0000,38545.0000,41989.0000
54330.5000,41708.0000,52228.5000,46512.0000,39795.0000,40088.0000,35412.0000,33391.0000,32059.0000,49966.5000,44535.5000,38509.0000,41917.5000
