Task,TaskName,Model,Preprocess,Fold,MacroF1,BalancedAcc,Accuracy
T6_mba_pres,MBA Presence,1D-CNN,p1,0,0.8529460778478752,0.8609274742368267,0.863849765258216
T6_mba_pres,MBA Presence,1D-CNN,p1,1,0.5903210938700261,0.5881953867028494,0.6633165829145728
T6_mba_pres,MBA Presence,1D-CNN,p1,2,0.801920768307323,0.815,0.8484848484848485
T6_mba_pres,MBA Presence,1D-CNN,p1,3,0.818153376872238,0.8114954844634931,0.8655913978494624
T6_mba_pres,MBA Presence,1D-CNN,p1,4,1.0,1.0,1.0
T7_mixture_order,Mixture Complexity,1D-CNN,p1,0,0.6791246766905997,0.6582901519549859,0.6948356807511737
T7_mixture_order,Mixture Complexity,1D-CNN,p1,1,0.4073589296102385,0.4569757727652464,0.5527638190954773
T7_mixture_order,Mixture Complexity,1D-CNN,p1,2,0.4575757575757575,0.5052700922266139,0.6111111111111112
T7_mixture_order,Mixture Complexity,1D-CNN,p1,3,0.456539080886907,0.4726817042606517,0.4946236559139785
T7_mixture_order,Mixture Complexity,1D-CNN,p1,4,0.4097267253358036,0.4215686274509804,0.4430379746835443
T1b_thiram_3c,Thiram Semi-Quant,1D-CNN,p1,0,0.6812350119904077,0.7204686617730096,0.6619718309859155
T1b_thiram_3c,Thiram Semi-Quant,1D-CNN,p1,1,0.5283020770316597,0.546031746031746,0.542713567839196
T1b_thiram_3c,Thiram Semi-Quant,1D-CNN,p1,2,0.6388751583642319,0.6227777777777778,0.6565656565656566
T1b_thiram_3c,Thiram Semi-Quant,1D-CNN,p1,3,0.5302872566030461,0.5359661101566745,0.5376344086021505
T1b_thiram_3c,Thiram Semi-Quant,1D-CNN,p1,4,0.4184617224165246,0.4484583105272761,0.3734177215189873
T2b_mg_3c,MG Semi-Quant,1D-CNN,p1,0,0.3894388531412125,0.4235517568850902,0.3943661971830985
T2b_mg_3c,MG Semi-Quant,1D-CNN,p1,1,0.4036226626443146,0.4644606113820118,0.4874371859296482
T2b_mg_3c,MG Semi-Quant,1D-CNN,p1,2,0.3505718554796369,0.5733590733590733,0.3434343434343434
T2b_mg_3c,MG Semi-Quant,1D-CNN,p1,3,0.5097046790713721,0.5555963360311187,0.6451612903225806
T2b_mg_3c,MG Semi-Quant,1D-CNN,p1,4,0.3128180661577608,0.3988749345892202,0.3860759493670886
T3b_mba_3c,MBA Semi-Quant,1D-CNN,p1,0,0.6721577880114465,0.7106359524081043,0.6854460093896714
T3b_mba_3c,MBA Semi-Quant,1D-CNN,p1,1,0.6086098173384701,0.7202975945958282,0.6884422110552764
T3b_mba_3c,MBA Semi-Quant,1D-CNN,p1,2,0.7650008661198052,0.8294501619973319,0.7525252525252525
T3b_mba_3c,MBA Semi-Quant,1D-CNN,p1,3,0.5439390879923961,0.5511524822695035,0.510752688172043
